pub_order,cycle,dataset,sequence_index,sequence_kind,payload_index,char_index,char_sent,bit_in_char,bit_sent,circuit_hash,transpile_hash
198,0,PHAN_STRICT_POSTHOC,36,PAYLOAD,20,0,J,4,1,f7f31345a1f8cd81,d6fdbd858942d985
199,1,PHAN_STRICT_POSTHOC,12,HEADER,-1,-1,,-1,0,f7f31345a1f8cd81,d6fdbd858942d985
200,1,REAL,26,PAYLOAD,10,0,J,2,0,f7f31345a1f8cd81,d6fdbd858942d985
201,1,REAL,44,PAYLOAD,28,3,U,5,1,1145d10ea689307a,45d066a2b0da3167
202,2,PHAN_STRICT_POSTHOC,21,PAYLOAD,5,0,J,1,1,f7f31345a1f8cd81,d6fdbd858942d985
203,0,PHAN_STRICT_POSTHOC,23,PAYLOAD,7,2,N,1,0,f7f31345a1f8cd81,d6fdbd858942d985
204,1,PHAN_STRICT_POSTHOC,4,HEADER,-1,-1,,-1,0,f7f31345a1f8cd81,d6fdbd858942d985
205,0,NULO,42,PAYLOAD,26,1,A,5,0,ac38ecf3e7ea6c8f,11db72cfd0ef8b79
206,0,REAL,60,PAYLOAD,44,4,S,8,1,1145d10ea689307a,45d066a2b0da3167
207,0,PHAN_STRICT_POSTHOC,50,PAYLOAD,34,4,S,6,1,f7f31345a1f8cd81,d6fdbd858942d985
208,2,PHAN_STRICT_POSTHOC,35,PAYLOAD,19,4,S,3,1,f7f31345a1f8cd81,d6fdbd858942d985
209,2,REAL,9,HEADER,-1,-1,,-1,1,1145d10ea689307a,45d066a2b0da3167
210,0,REAL,17,PAYLOAD,1,1,A,0,1,1145d10ea689307a,45d066a2b0da3167
211,1,NULO,17,PAYLOAD,1,1,A,0,1,4cfd64574be51110,958794348209a838
212,0,REAL,20,PAYLOAD,4,4,S,0,1,1145d10ea689307a,45d066a2b0da3167
213,0,PHAN_STRICT_POSTHOC,8,HEADER,-1,-1,,-1,0,f7f31345a1f8cd81,d6fdbd858942d985
214,1,NULO,10,HEADER,-1,-1,,-1,0,ac38ecf3e7ea6c8f,11db72cfd0ef8b79
215,1,PHAN_STRICT_POSTHOC,41,PAYLOAD,25,0,J,5,0,f7f31345a1f8cd81,d6fdbd858942d985
216,2,NULO,6,HEADER,-1,-1,,-1,0,ac38ecf3e7ea6c8f,11db72cfd0ef8b79
217,2,REAL,28,PAYLOAD,12,2,N,2,0,f7f31345a1f8cd81,d6fdbd858942d985
218,2,NULO,25,PAYLOAD,9,4,S,1,0,ac38ecf3e7ea6c8f,11db72cfd0ef8b79
219,0,PHAN_STRICT_POSTHOC,27,PAYLOAD,11,1,A,2,0,f7f31345a1f8cd81,d6fdbd858942d985
220,0,REAL,12,HEADER,-1,-1,,-1,0,f7f31345a1f8cd81,d6fdbd858942d985
221,2,PHAN_STRICT_POSTHOC,56,PAYLOAD,40,0,J,8,0,f7f31345a1f8cd81,d6fdbd858942d985
222,2,REAL,13,HEADER,-1,-1,,-1,1,1145d10ea689307a,45d066a2b0da3167
223,1,PHAN_STRICT_POSTHOC,21,PAYLOAD,5,0,J,1,1,f7f31345a1f8cd81,d6fdbd858942d985
224,1,NULO,7,HEADER,-1,-1,,-1,1,4cfd64574be51110,958794348209a838
225,2,NULO,30,PAYLOAD,14,4,S,2,1,4cfd64574be51110,958794348209a838
226,1,REAL,5,HEADER,-1,-1,,-1,1,1145d10ea689307a,45d066a2b0da3167
227,2,PHAN_STRICT_POSTHOC,0,HEADER,-1,-1,,-1,0,f7f31345a1f8cd81,d6fdbd858942d985
228,0,REAL,14,HEADER,-1,-1,,-1,0,f7f31345a1f8cd81,d6fdbd858942d985
229,1,NULO,33,PAYLOAD,17,2,N,3,1,4cfd64574be51110,958794348209a838
