dataset,postselect,n_placebo,n_ativo,consenso_placebo_mean,consenso_ativo_mean,consenso_delta_ativo_minus_placebo,espiao_1_placebo_mean,espiao_1_ativo_mean,espiao_1_delta_ativo_minus_placebo,espiao_2_placebo_mean,espiao_2_ativo_mean,espiao_2_delta_ativo_minus_placebo,espiao_3_placebo_mean,espiao_3_ativo_mean,espiao_3_delta_ativo_minus_placebo,q0_passado_placebo_mean,q0_passado_ativo_mean,q0_passado_delta_ativo_minus_placebo,q1_futuro_placebo_mean,q1_futuro_ativo_mean,q1_futuro_delta_ativo_minus_placebo
NULO,False,20480,20480,0.090966796875,0.09140625,0.0004394531249999889,0.04716796875,0.04892578125,0.0017578125000000042,0.02109375,0.020166015625,-0.0009277343750000028,0.022705078125,0.022314453125,-0.0003906249999999986,0.440673828125,0.433154296875,-0.007519531249999989,0.475927734375,0.593896484375,0.11796874999999996
NULO,True,9747,12163,0.0886426592797784,0.08978048178903231,0.0011378225092539135,0.04534728634451626,0.04702787141330264,0.0016805850687863777,0.020519134092541295,0.019814190577982407,-0.0007049435145588881,0.02277623884272084,0.022938419797747266,0.00016218095502642735,0.44023802195547346,0.4322946641453589,-0.00794335781011457,1.0,1.0,0.0
PHAN_LEGACY_IDENTICAL_PUBS,False,20480,20480,0.091357421875,0.0837890625,-0.007568359375,0.045166015625,0.039697265625,-0.005468750000000001,0.02255859375,0.0208984375,-0.0016601562500000028,0.0236328125,0.023193359375,-0.0004394531249999993,0.485009765625,0.481591796875,-0.00341796875,0.481396484375,0.480517578125,-0.0008789062499999778
PHAN_LEGACY_IDENTICAL_PUBS,True,9859,9841,0.15143523683943605,0.14236358093689666,-0.009071655902539388,0.06907394259052642,0.06350980591403313,-0.005564136676493289,0.041484937620448324,0.03902042475358195,-0.0024645128668663724,0.040876356628461306,0.03983335026928158,-0.0010430063591797267,0.9493863474997464,0.9488873082003861,-0.0004990392993602377,1.0,1.0,0.0
PHAN_STRICT_POSTHOC,False,10240,10240,0.088671875,0.0849609375,-0.0037109374999999972,0.042578125,0.0408203125,-0.0017578125000000042,0.02255859375,0.01953125,-0.0030273437500000014,0.02353515625,0.024609375,0.001074218749999998,0.4828125,0.48046875,-0.002343749999999978,0.479296875,0.47724609375,-0.002050781250000022
PHAN_STRICT_POSTHOC,True,4908,4887,0.14812550937245314,0.143646408839779,-0.004479100532674141,0.06723716381418093,0.06547984448536935,-0.0017573193288115824,0.040749796251018745,0.03519541641088603,-0.0055543798401327185,0.04013854930725346,0.042971147943523635,0.002832598636270174,0.9553789731051344,0.9512993656640065,-0.004079607441127897,1.0,1.0,0.0
REAL,False,20480,20480,0.089697265625,0.07685546875,-0.012841796874999992,0.044189453125,0.0333984375,-0.010791015624999997,0.01943359375,0.019873046875,0.0004394531250000028,0.02607421875,0.023583984375,-0.0024902343750000007,0.487255859375,0.490966796875,0.003710937500000011,0.48212890625,0.485400390625,0.003271484375000022
REAL,True,9874,9941,0.1451286206198096,0.0739362237199477,-0.07119239689986191,0.06643710755519547,0.032089327029473896,-0.03434778052572157,0.03524407534940247,0.018509204305401872,-0.0167348710440006,0.043447437715211666,0.023337692385071926,-0.02010974533013974,0.9550334211059348,0.5109143949300875,-0.4441190261758473,1.0,1.0,0.0
