dataset,mode,cycle,decoder,sequence_index,bit_true,bit_pred_hard,cost0,cost1,margin,payload_index,char_index,bit_in_char
NULO,RAW,0,hard_vector,16,0,0,19.206658400919917,23.33553237269625,4.128873971776333,,,
NULO,RAW,0,hard_vector,17,1,1,25.326608761807584,21.621232910688462,3.705375851119122,,,
NULO,RAW,0,hard_vector,18,0,0,35.29755556708701,54.6484001815415,19.350844614454488,,,
NULO,RAW,0,hard_vector,19,0,1,15.800620107274813,7.463352504232441,8.337267603042372,,,
NULO,RAW,0,hard_vector,20,1,0,8.058617630580104,23.78369668777155,15.725079057191445,,,
NULO,RAW,0,hard_vector,21,1,0,38.49358898535353,39.95361233500457,1.4600233496510384,,,
NULO,RAW,0,hard_vector,22,0,1,15.925037331473119,5.192760735087299,10.73227659638582,,,
NULO,RAW,0,hard_vector,23,0,0,11.530839431631831,32.34489918338793,20.814059751756098,,,
NULO,RAW,0,hard_vector,24,0,1,53.07192738533146,29.97530264280817,23.096624742523293,,,
NULO,RAW,0,hard_vector,25,0,1,8.118912773799341,7.586556391265096,0.5323563825342452,,,
NULO,RAW,0,hard_vector,26,0,0,46.178925120441406,76.73695885380087,30.558033733359466,,,
NULO,RAW,0,hard_vector,27,0,1,15.478018690466103,10.761861736385729,4.716156954080374,,,
NULO,RAW,0,hard_vector,28,0,0,31.00335159323298,42.62809670973511,11.62474511650213,,,
NULO,RAW,0,hard_vector,29,1,1,81.69430363765443,49.21939729553457,32.47490634211986,,,
NULO,RAW,0,hard_vector,30,1,1,40.97579577119803,39.51703642847241,1.458759342725621,,,
NULO,RAW,0,hard_vector,31,0,0,39.6395143517178,68.34543143220057,28.70591708048277,,,
NULO,RAW,0,hard_vector,32,0,0,40.4295846555952,54.94021109992197,14.510626444326768,,,
NULO,RAW,0,hard_vector,33,1,0,2.141165581843837,14.197839627377567,12.056674045533729,,,
NULO,RAW,0,hard_vector,34,1,0,23.943181679368507,28.17104446839079,4.227862789022282,,,
NULO,RAW,0,hard_vector,35,1,0,8.782970606292414,8.884038727545786,0.1010681212533715,,,
NULO,RAW,0,hard_vector,36,1,0,16.464200778522404,30.50430834110834,14.040107562585938,,,
NULO,RAW,0,hard_vector,37,0,1,16.393461290487448,10.699734889538888,5.6937264009485595,,,
NULO,RAW,0,hard_vector,38,1,1,54.72189475224747,32.94839627228822,21.77349847995925,,,
NULO,RAW,0,hard_vector,39,0,0,19.688686589743785,23.017723532086475,3.3290369423426895,,,
NULO,RAW,0,hard_vector,40,0,0,4.164140777061187,7.538684810355654,3.374544033294467,,,
NULO,RAW,0,hard_vector,41,0,0,10.178173862246314,29.472241832497893,19.29406797025158,,,
NULO,RAW,0,hard_vector,42,0,0,27.400613662988455,57.593388846399094,30.19277518341064,,,
NULO,RAW,0,hard_vector,43,1,1,42.07669723892554,38.851223952309745,3.225473286615795,,,
NULO,RAW,0,hard_vector,44,1,0,9.260007248724039,19.939132219295864,10.679124970571825,,,
NULO,RAW,0,hard_vector,45,0,1,14.820390417074528,14.10541642730237,0.7149739897721581,,,
NULO,RAW,0,hard_vector,46,1,0,6.400261862581493,15.76994572194621,9.369683859364716,,,
NULO,RAW,0,hard_vector,47,0,0,53.71800886950319,60.084017428490625,6.3660085589874384,,,
NULO,RAW,0,hard_vector,48,1,1,49.12170401154572,29.087590548861222,20.034113462684495,,,
NULO,RAW,0,hard_vector,49,0,0,10.874546985026656,17.616684506828577,6.74213752180192,,,
NULO,RAW,0,hard_vector,50,1,0,8.543108596519305,10.306790140812788,1.7636815442934832,,,
NULO,RAW,0,hard_vector,51,0,1,102.50138609858723,62.7872661064097,39.71411999217753,,,
NULO,RAW,0,hard_vector,52,1,0,15.32983925558104,26.84284800493577,11.51300874935473,,,
NULO,RAW,0,hard_vector,53,0,1,28.45452664325998,9.882804905339597,18.571721737920384,,,
NULO,RAW,0,hard_vector,54,1,0,28.27748064067358,48.617893557681235,20.340412917007654,,,
NULO,RAW,0,hard_vector,55,1,0,39.97115568928164,46.8319578397529,6.860802150471265,,,
NULO,RAW,0,hard_vector,56,0,1,29.646987441722402,18.88304497274131,10.763942468981092,,,
NULO,RAW,0,hard_vector,57,1,1,16.304414928915296,11.522142704645717,4.78227222426958,,,
NULO,RAW,0,hard_vector,58,0,1,86.08896436859075,55.00150734746277,31.08745702112798,,,
NULO,RAW,0,hard_vector,59,1,1,7.923639439953216,0.9832281809042871,6.940411259048929,,,
NULO,RAW,0,hard_vector,60,1,0,24.61303247597209,53.663191577000454,29.050159101028363,,,
NULO,RAW,0,soft_vector_codebook,16,0,0,19.206658400919917,23.33553237269625,4.128873971776333,0.0,0.0,0.0
NULO,RAW,0,soft_vector_codebook,17,1,1,25.326608761807584,21.621232910688462,3.705375851119122,1.0,1.0,0.0
