dataset,mode,cycle,decoder,char_index,expected_char,decoded_char,selected_code9,selected_bits5,best_cost,second_char,second_code9,second_cost,soft_margin,ok_char
PHAN_STRICT_POSTHOC,RAW,1,soft_vector_codebook,3,U,M,010011011,01101,164.23876275593304,G,000001111,164.86945039688476,0.6306876409517201,False
PHAN_STRICT_POSTHOC,RAW,1,soft_vector_codebook,4,S, ,000000000,00000,205.04263208129888,P,111000000,212.96040679942774,7.917774718128868,False
PHAN_STRICT_POSTHOC,RAW,2,soft_vector_codebook,0,J,M,010011011,01101,162.53683255966078,E,110101011,162.97119199163026,0.434359431969483,False
PHAN_STRICT_POSTHOC,RAW,2,soft_vector_codebook,1,A,S,101100111,10011,118.51833643775187,Y,111110011,119.66932322529186,1.150986787539992,False
PHAN_STRICT_POSTHOC,RAW,2,soft_vector_codebook,2,N,X,011110000,11000,160.47362145452212,P,111000000,170.62395515139423,10.15033369687211,False
PHAN_STRICT_POSTHOC,RAW,2,soft_vector_codebook,3,U,K,110010111,01011,120.52775818709011,L,110011000,123.4947969614319,2.9670387743417876,False
PHAN_STRICT_POSTHOC,RAW,2,soft_vector_codebook,4,S,D,010101000,00100,195.67693021929807,N,000111100,200.82757122577124,5.150641006473165,False
PHAN_STRICT_POSTHOC,POST_Q1_1,0,soft_vector_codebook,0,J,Q,011000011,10001,261.27497859130006,C,010100111,261.7133634414995,0.43838485019944073,False
PHAN_STRICT_POSTHOC,POST_Q1_1,0,soft_vector_codebook,1,A,R,001100100,10010,193.0954876549839,Z,101010100,208.74531929988171,15.649831644897802,False
PHAN_STRICT_POSTHOC,POST_Q1_1,0,soft_vector_codebook,2,N,C,010100111,00011,148.98432234888637,D,010101000,155.8735478889741,6.889225540087722,False
PHAN_STRICT_POSTHOC,POST_Q1_1,0,soft_vector_codebook,3,U,C,010100111,00011,172.76468809861308,K,110010111,173.81804842432837,1.053360325715289,False
PHAN_STRICT_POSTHOC,POST_Q1_1,0,soft_vector_codebook,4,S, ,000000000,00000,209.8626019211196,F,100001100,210.82095497652907,0.958353055409475,False
PHAN_STRICT_POSTHOC,POST_Q1_1,1,soft_vector_codebook,0,J,R,001100100,10010,194.64905692684843,T,101101000,205.44407727190773,10.7950203450593,False
PHAN_STRICT_POSTHOC,POST_Q1_1,1,soft_vector_codebook,1,A,Z,101010100,11010,295.86584078492433,J,010010100,299.83421691200624,3.9683761270819105,False
PHAN_STRICT_POSTHOC,POST_Q1_1,1,soft_vector_codebook,2,N,A,100000011,00001,204.52873382828898,M,010011011,206.0218278594936,1.4930940312046346,False
PHAN_STRICT_POSTHOC,POST_Q1_1,1,soft_vector_codebook,3,U,E,110101011,00101,243.4653087116247,A,100000011,251.65787555280804,8.19256684118335,False
PHAN_STRICT_POSTHOC,POST_Q1_1,1,soft_vector_codebook,4,S,V,011001100,10110,227.08511563151558, ,000000000,228.23377516453198,1.1486595330163993,False
PHAN_STRICT_POSTHOC,POST_Q1_1,2,soft_vector_codebook,0,J,E,110101011,00101,141.79710070975068,O,100111111,142.54228526341612,0.7451845536654389,False
PHAN_STRICT_POSTHOC,POST_Q1_1,2,soft_vector_codebook,1,A,S,101100111,10011,87.6554528390428,Y,111110011,91.01817544636448,3.362722607321686,False
PHAN_STRICT_POSTHOC,POST_Q1_1,2,soft_vector_codebook,2,N,Y,111110011,11001,138.08984867732605,Q,011000011,140.0621450661857,1.972296388859661,False
PHAN_STRICT_POSTHOC,POST_Q1_1,2,soft_vector_codebook,3,U,O,100111111,01111,116.34882622876206,K,110010111,121.88545570481274,5.536629476050678,False
PHAN_STRICT_POSTHOC,POST_Q1_1,2,soft_vector_codebook,4,S,X,011110000,11000,150.63453046820112,D,010101000,159.3585323119573,8.724001843756184,False
REAL,RAW,0,soft_vector_codebook,0,J,V,011001100,10110,390.1939566377921,P,111000000,398.8757127716117,8.68175613381959,False
REAL,RAW,0,soft_vector_codebook,1,A,K,110010111,01011,195.6765003367209,C,010100111,213.2963508844211,17.619850547700196,False
REAL,RAW,0,soft_vector_codebook,2,N,V,011001100,10110,275.8490386482456,R,001100100,280.33934742529334,4.490308777047744,False
REAL,RAW,0,soft_vector_codebook,3,U,T,101101000,10100,245.74203854006575,R,001100100,252.02607913699234,6.284040596926587,False
REAL,RAW,0,soft_vector_codebook,4,S,N,000111100,01110,269.43488620132314,H,100110000,281.6517377919234,12.216851590600243,False
REAL,RAW,1,soft_vector_codebook,0,J,V,011001100,10110,337.6767106965839,F,100001100,339.53492299613936,1.8582122995554755,False
REAL,RAW,1,soft_vector_codebook,1,A,L,110011000,01100,218.13381775506545,X,011110000,225.7725800658761,7.638762310810648,False
REAL,RAW,1,soft_vector_codebook,2,N,H,100110000,01000,396.8166151112546,N,000111100,401.72223438918513,4.905619277930555,False
REAL,RAW,1,soft_vector_codebook,3,U,Y,111110011,11001,325.06986599788195,C,010100111,338.95378789036033,13.883921892478384,False
REAL,RAW,1,soft_vector_codebook,4,S,B,110100100,00010,497.6407835960106,L,110011000,509.180062463736,11.539278867725443,False
REAL,RAW,2,soft_vector_codebook,0,J,X,011110000,11000,286.5997765190498,Q,011000011,290.8021182868965,4.20234176784669,False
REAL,RAW,2,soft_vector_codebook,1,A,T,101101000,10100,195.24265188393846,P,111000000,203.7767436732038,8.534091789265347,False
REAL,RAW,2,soft_vector_codebook,2,N, ,000000000,00000,253.60969712297552,L,110011000,271.6029724550634,17.993275332087904,False
REAL,RAW,2,soft_vector_codebook,3,U, ,000000000,00000,203.0237524898879,R,001100100,221.36155807736313,18.33780558747523,False
REAL,RAW,2,soft_vector_codebook,4,S,S,101100111,10011,149.8906856839345,K,110010111,166.92685372850693,17.036168044572435,True
REAL,POST_Q1_1,0,soft_vector_codebook,0,J,J,010010100,01010,239.82196453754187,V,011001100,246.4068924932472,6.584927955705325,True
REAL,POST_Q1_1,0,soft_vector_codebook,1,A,A,100000011,00001,127.25281480151423,K,110010111,148.55024991357544,21.29743511206121,True
REAL,POST_Q1_1,0,soft_vector_codebook,2,N,N,000111100,01110,108.60644362514836,D,010101000,158.6240824577501,50.01763883260173,True
REAL,POST_Q1_1,0,soft_vector_codebook,3,U,U,001101011,10101,139.69399918247083,T,101101000,188.0508971408455,48.356897958374674,True
REAL,POST_Q1_1,0,soft_vector_codebook,4,S,S,101100111,10011,189.3990242468729,O,100111111,193.0340139292349,3.6349896823620043,True
REAL,POST_Q1_1,1,soft_vector_codebook,0,J,J,010010100,01010,276.60906775091087,L,110011000,341.7137360454723,65.1046682945614,True
REAL,POST_Q1_1,1,soft_vector_codebook,1,A,A,100000011,00001,203.9405630896441,E,110101011,238.98552729390804,35.04496420426395,True
REAL,POST_Q1_1,1,soft_vector_codebook,2,N,N,000111100,01110,379.12793131738056,D,010101000,418.7898628028182,39.66193148543766,True
REAL,POST_Q1_1,1,soft_vector_codebook,3,U,U,001101011,10101,345.8002953776158,T,101101000,388.75326183186513,42.95296645424935,True
REAL,POST_Q1_1,1,soft_vector_codebook,4,S,S,101100111,10011,160.66919483939407,G,000001111,164.5358424472659,3.8666476078718404,True
REAL,POST_Q1_1,2,soft_vector_codebook,0,J,Q,011000011,10001,163.67813726214362,P,111000000,180.73133308914126,17.053195826997637,False
REAL,POST_Q1_1,2,soft_vector_codebook,1,A,A,100000011,00001,184.76948497343398,F,100001100,224.67629103487076,39.90680606143678,True
REAL,POST_Q1_1,2,soft_vector_codebook,2,N,N,000111100,01110,264.230752682349,H,100110000,267.8373043355572,3.6065516532081574,True
REAL,POST_Q1_1,2,soft_vector_codebook,3,U,R,001100100,10010,229.06937690959634, ,000000000,265.2122782461293,36.14290133653296,False
REAL,POST_Q1_1,2,soft_vector_codebook,4,S,S,101100111,10011,226.36787418845648,C,010100111,284.7107968135615,58.34292262510502,True
