dataset,mode,sequence_index,sequence_kind,payload_index,char_index,bit_in_char,bit_sent,e1_mean,e2_mean,e3_mean,cons_mean,e1_minus_e2,e1_minus_e3,e2_minus_e3,e1_ratio_e2,e2_ratio_e1,e1_share,e2_share,e3_share,e1_var,e2_var,e3_var,cons_var,e1_flicker,e2_flicker,e3_flicker,cons_flicker,cycle_scope
NULO,RAW,0,HEADER,-1,-1,-1,0,0.03515625,0.037109375,0.022786458333333332,0.09505208333333333,-0.001953125,0.012369791666666668,0.014322916666666668,0.9473428926546821,1.0555255317182088,0.3698591225779981,0.39040685161010913,0.2397235053746284,0.0339202880859375,0.035732269287109375,0.022267235649956602,0.09382968478732638,0.06254071661237785,0.07296416938110749,0.04429967426710098,0.16547231270358306,aggregate
NULO,RAW,1,HEADER,-1,-1,-1,1,0.046875,0.038411458333333336,0.027994791666666668,0.11328125,0.008463541666666664,0.018880208333333332,0.010416666666666668,1.220307213696945,0.8194269633358933,0.4137894506862284,0.3390774665345483,0.24712425527094198,0.044677734375,0.03693601820203993,0.027211083306206595,0.11086527506510417,0.08859934853420195,0.0742671009771987,0.05472312703583062,0.196742671009772,aggregate
NULO,RAW,2,HEADER,-1,-1,-1,0,0.033854166666666664,0.037760416666666664,0.026692708333333332,0.09830729166666667,-0.00390625,0.007161458333333332,0.011067708333333332,0.8965279816037975,1.1153516696122208,0.3443673579585309,0.3841020531075922,0.27152041685191863,0.03270806206597222,0.03633456759982639,0.025980207655164927,0.0964554680718316,0.06514657980456026,0.0755700325732899,0.050814332247557006,0.17980456026058633,aggregate
NULO,RAW,3,HEADER,-1,-1,-1,1,0.033203125,0.037109375,0.015625,0.0859375,-0.00390625,0.017578125,0.021484375,0.8947127319516442,1.117613398937632,0.3863591405481827,0.431813157083263,0.18181606614032128,0.032100677490234375,0.035732269287109375,0.015380859375,0.09157307942708333,0.06384364820846905,0.07166123778501629,0.031270358306188926,0.15895765472312703,aggregate
NULO,RAW,4,HEADER,-1,-1,-1,0,0.035807291666666664,0.031901041666666664,0.022135416666666668,0.08984375,0.00390625,0.013671874999999997,0.009765624999999997,1.1224137953553128,0.8908842109427635,0.39854628864420755,0.35506851170120307,0.24637406934369196,0.03452512953016495,0.03088336520724827,0.02164543999565972,0.09088643391927083,0.06905537459283388,0.06384364820846905,0.04299674267100977,0.16026058631921825,aggregate
NULO,RAW,5,HEADER,-1,-1,-1,1,0.033854166666666664,0.038411458333333336,0.024088541666666668,0.09635416666666667,-0.004557291666666671,0.009765624999999997,0.014322916666666668,0.8813329876700158,1.1345818708124316,0.35134770493192713,0.39864451136507123,0.24999740543233281,0.03270806206597222,0.03693601820203993,0.023508283827039938,0.1026950412326389,0.06775244299674267,0.0736156351791531,0.046905537459283386,0.17654723127035832,aggregate
NULO,RAW,6,HEADER,-1,-1,-1,0,0.034505208333333336,0.037760416666666664,0.024088541666666668,0.09635416666666667,-0.0032552083333333287,0.010416666666666668,0.013671874999999997,0.9137689043269476,1.0943079083594858,0.3581043915652335,0.3918878247317649,0.24999740543233281,0.033314598931206606,0.03633456759982639,0.023508283827039938,0.09227837456597222,0.05993485342019544,0.0755700325732899,0.046905537459283386,0.1758957654723127,aggregate
NULO,RAW,7,HEADER,-1,-1,-1,1,0.028645833333333332,0.042317708333333336,0.033203125,0.10416666666666667,-0.013671875000000003,-0.004557291666666668,0.009114583333333336,0.676907081088053,1.477221158825001,0.27499736002534375,0.40624610003743966,0.3187469400293757,0.027825249565972227,0.04052691989474825,0.032100677490234375,0.10373263888888888,0.056026058631921824,0.08078175895765473,0.06644951140065146,0.18371335504885994,aggregate
NULO,RAW,8,HEADER,-1,-1,-1,0,0.039713541666666664,0.0390625,0.027994791666666668,0.10677083333333333,0.0006510416666666644,0.011718749999999997,0.011067708333333332,1.0166406406662656,0.9835817904650794,0.371947735904132,0.3658502320368512,0.2621926662930767,0.03813637627495659,0.03753662109375,0.027211083306206595,0.10318332248263888,0.0742671009771987,0.0736156351791531,0.056026058631921824,0.18957654723127035,aggregate
NULO,RAW,9,HEADER,-1,-1,-1,1,0.0390625,0.041666666666666664,0.0234375,0.10416666666666667,-0.0026041666666666644,0.015625,0.018229166666666664,0.937477500539987,1.0666393606990328,0.37499640003455964,0.3999961600368636,0.22499784002073578,0.03753662109375,0.03993055555555557,0.02288818359375,0.10112847222222221,0.07296416938110749,0.08078175895765473,0.04560260586319218,0.18371335504885994,aggregate
