dataset,mode,bit_sent,n,consenso_mean,espiao_1_mean,espiao_2_mean,espiao_3_mean,q1_rate,q0_rate
REAL,RAW,0,13312,0.12815504807692307,0.05318509615384615,0.02989783653846154,0.045072115384615384,0.46206430288461536,0.4830979567307692
REAL,RAW,1,11776,0.08729619565217392,0.030655570652173912,0.023947010869565216,0.032693614130434784,0.5045855978260869,0.494140625
REAL,POST_Q1_1,0,6151,0.18338481547715818,0.0733214111526581,0.04487075272313445,0.06519265160136563,1.0,0.9042432124857747
REAL,POST_Q1_1,1,5942,0.08768091551666106,0.03147088522383036,0.023729384045775834,0.032480646247054865,1.0,0.435207001009761
